date	DE1M_RGM1	JP1M_RJP1	TH1M_RTH1	US1M_RUS1		de3m_RGM3	jp3m_RJP3	th3m_RTH3	us3m_RUS3		dem_SGM	jpy_SJP	thb_STH
1/2/92	9.563	5.813	12.500	4.188		9.563	5.688	12.000	4.188		1.528	124.500	25.370
1/3/92	9.500	5.813	12.000	4.188		9.500	5.688	12.500	4.125		1.547	124.800	25.250
1/6/92	9.563	5.813	12.000	4.188		9.625	5.688	12.500	4.125		1.519	124.100	25.250
1/7/92	9.625	5.313	12.000	4.313		9.625	5.250	12.500	4.125		1.521	124.400	25.250
1/8/92	9.563	5.375	12.000	4.063		9.625	5.313	12.500	4.000		1.515	124.900	25.200
1/9/92	9.500	5.375	12.000	4.063		9.500	5.313	12.500	4.000		1.547	125.400	25.200
1/10/92	9.438	5.375	11.500	4.125		9.438	5.313	12.500	4.063		1.583	127.050	25.220
1/13/92	9.500	5.375	11.500	4.188		9.500	5.313	12.500	4.125		1.573	126.850	25.220
1/14/92	9.563	5.375	11.500	4.250		9.563	5.250	12.500	4.250		1.591	126.800	25.360
1/15/92	9.500	5.375	11.500	4.250		9.500	5.250	12.000	4.250		1.622	128.400	25.360
1/16/92	9.500	5.438	11.500	4.250		9.500	5.250	12.000	4.313		1.618	128.280	25.380
1/17/92	9.500	5.438	11.500	4.188		9.500	5.250	12.000	4.188		1.608	127.450	25.450
1/20/92	9.563	5.438	11.500	4.188		9.500	5.250	12.500	4.188		1.589	123.970	25.450
1/21/92	9.563	5.438	11.500	4.188		9.500	5.188	12.500	4.188		1.584	123.200	25.200
1/22/92	9.563	5.375	11.500	4.188		9.500	5.125	12.500	4.188		1.587	123.220	25.340
1/23/92	9.563	5.375	11.000	4.188		9.500	5.125	11.500	4.188		1.596	123.900	25.340
1/24/92	9.563	5.375	10.000	4.188		9.500	5.125	11.000	4.250		1.586	123.420	25.320
1/27/92	9.563	5.438	11.000	4.188		9.500	5.125	11.500	4.250		1.617	125.400	25.360
1/28/92	9.625	5.438	11.000	4.188		9.563	5.188	11.500	4.250		1.596	125.620	25.390
1/29/92	9.625	5.438	11.000	4.125		9.625	5.188	11.500	4.125		1.590	125.450	25.380
1/30/92	9.625	5.438	11.000	4.188		9.625	5.188	11.500	4.188		1.622	126.000	25.380
1/31/92	9.688	5.438	11.000	4.188		9.625	5.188	11.500	4.188		1.608	125.550	25.390
2/3/92	9.625	5.438	10.750	4.188		9.625	5.188	11.250	4.188		1.598	125.950	25.400
2/4/92	9.625	5.438	10.000	4.125		9.625	5.188	11.000	4.188		1.593	126.150	25.400
2/5/92	9.688	5.438	10.000	4.125		9.625	5.188	11.000	4.125		1.590	125.830	25.215
2/6/92	9.688	5.563	10.000	4.063		9.625	5.250	11.000	4.063		1.577	125.650	25.250
2/7/92	9.625	5.563	10.000	4.125		9.625	5.250	11.000	4.125		1.560	125.220	25.250
2/10/92	9.625	5.563	10.000	4.000		9.625	5.250	11.000	4.000		1.572	126.700	25.360
2/11/92	9.625	5.563	10.000	3.938		9.625	5.250	11.000	3.938		1.592	126.930	25.340
2/12/92	9.625	5.563	10.000	4.000		9.625	5.250	11.000	4.000		1.606	127.680	25.380
2/13/92	9.625	5.563	10.000	4.000		9.625	5.250	11.000	4.000		1.623	127.680	25.400
2/14/92	9.625	5.563	10.000	4.063		9.625	5.313	11.000	4.188		1.629	127.930	25.430
2/17/92	9.625	5.563	10.000	4.188		9.625	5.313	11.000	4.188		1.629	127.000	25.460
2/18/92	9.688	5.563	NA	4.188		9.688	5.250	NA	4.188		1.649	128.000	25.280
2/19/92	9.625	5.500	10.000	4.250		9.625	5.250	11.000	4.250		1.647	128.400	25.440
2/20/92	9.625	5.500	10.000	4.188		9.625	5.250	11.000	4.188		1.647	128.650	25.480
2/21/92	9.625	5.438	10.000	4.250		9.625	5.188	11.000	4.313		1.650	128.720	25.510
2/24/92	9.625	5.500	10.000	4.313		9.625	5.188	11.000	4.375		1.649	129.100	25.520
2/25/92	9.625	5.438	10.000	4.250		9.625	5.188	11.000	4.313		1.641	129.450	25.530
2/26/92	9.625	5.563	10.500	4.188		9.625	5.250	11.500	4.250		1.653	129.680	25.530
2/27/92	9.625	5.625	10.500	4.250		9.625	5.250	11.500	4.250		1.644	129.410	25.560
2/28/92	9.625	5.625	11.000	4.250		9.625	5.250	11.000	4.250		1.637	129.150	25.530
3/2/92	9.688	5.625	10.500	4.313		9.688	5.250	11.500	4.250		1.641	129.630	25.530
3/3/92	9.688	5.625	10.000	4.313		9.688	5.250	11.000	4.375		1.657	130.840	25.530
3/4/92	9.625	5.625	10.000	4.313		9.625	5.188	11.000	4.313		1.672	132.110	25.540
3/5/92	9.625	5.625	10.000	4.313		9.625	5.188	11.000	4.313		1.672	131.850	25.600
3/6/92	9.625	5.625	10.000	4.438		9.625	5.188	11.000	4.438		1.670	131.760	25.610
3/9/92	9.688	5.375	10.000	4.313		9.688	5.000	11.000	4.375		1.665	131.920	25.630
3/10/92	9.625	5.250	10.000	4.313		9.625	4.938	11.000	4.375		1.672	132.880	25.650
3/11/92	9.750	5.375	9.000	4.313		9.750	5.000	9.750	4.313		1.665	133.450	25.610
3/12/92	9.688	5.375	9.500	4.375		9.688	5.000	10.000	4.438		1.673	134.250	25.680
3/13/92	9.750	5.313	9.500	4.250		9.750	4.938	10.000	4.313		1.667	133.600	25.680
3/16/92	9.750	5.375	9.500	4.375		9.750	5.000	10.000	4.438		1.666	133.980	25.690
3/17/92	9.750	5.313	9.250	4.375		9.750	5.000	9.750	4.438		1.653	133.450	25.680
3/18/92	9.750	5.313	9.250	4.375		9.750	5.000	9.750	4.438		1.649	132.050	25.680
3/19/92	9.750	5.250	9.250	4.375		9.750	4.875	9.750	4.375		1.670	133.270	25.630
3/20/92	9.750	5.250	9.250	4.375		9.750	4.875	9.750	4.438		1.678	134.150	25.630
3/23/92	9.688	5.125	9.250	4.375		9.750	4.875	9.750	4.438		1.670	133.700	25.680
3/24/92	9.750	5.250	9.250	4.438		9.813	4.938	9.750	4.438		1.665	133.690	25.700
3/25/92	9.750	5.125	9.250	4.250		9.813	4.875	9.750	4.313		1.651	133.350	25.650
3/26/92	9.750	5.125	9.250	4.250		9.813	4.875	9.750	4.313		1.662	133.950	25.660
3/27/92	9.750	5.500	9.250	4.250		9.750	5.125	9.750	4.375		1.645	133.120	25.630
3/30/92	9.750	5.125	9.250	4.250		9.750	4.938	9.750	4.375		1.649	133.060	25.660
3/31/92	9.750	4.938	9.250	4.250		9.813	4.813	9.750	4.313		1.647	132.920	25.620
4/1/92	9.750	4.875	9.250	4.250		9.813	4.813	9.750	4.313		1.651	134.500	25.620
4/2/92	9.750	4.938	9.250	4.250		9.750	4.813	9.750	4.313		1.646	133.830	25.620
4/3/92	9.750	4.875	9.250	4.250		9.750	4.750	9.750	4.313		1.624	133.250	25.680
4/6/92	9.750	4.750	NA	4.250		9.875	4.750	NA	4.313		1.622	132.720	25.660
4/7/92	9.750	4.750	9.250	4.188		9.813	4.750	9.750	4.250		1.625	133.280	25.660
4/8/92	9.688	4.750	9.250	4.188		9.750	4.688	9.750	4.188		1.626	132.600	25.620
4/9/92	9.688	4.750	9.250	4.125		9.688	4.688	9.750	4.188		1.621	132.230	25.610
4/10/92	9.688	4.750	9.250	4.000		9.688	4.688	9.750	4.063		1.638	132.900	25.620
4/13/92	9.688	4.750	NA	4.063		9.688	4.688	NA	4.125		1.655	133.280	25.590
4/14/92	9.688	4.750	NA	4.063		9.688	4.688	NA	4.063		1.645	132.790	25.610
4/15/92	9.625	4.750	9.500	4.125		9.625	4.688	10.000	4.125		1.662	133.390	25.610
4/16/92	9.750	4.813	10.000	4.125		9.750	4.688	10.500	4.063		1.666	133.900	25.630
4/17/92	NA	NA	10.500	NA		NA	NA	10.500	NA		1.669	134.000	25.650
4/20/92	NA	NA	11.000	NA		NA	NA	11.250	NA		1.674	134.500	25.620
4/21/92	9.750	4.813	11.000	4.125		9.750	4.750	11.250	4.125		1.670	134.230	25.570
4/22/92	9.750	4.688	11.000	4.063		9.750	4.750	11.250	4.188		1.663	134.150	25.680
4/23/92	9.750	4.813	10.000	4.000		9.750	4.750	10.250	4.125		1.662	134.530	25.680
4/24/92	9.813	4.688	11.000	4.000		9.813	4.750	11.250	4.063		1.652	134.530	25.660
4/27/92	9.938	4.813	11.000	3.938		9.938	4.750	11.250	4.063		1.651	133.130	25.680
4/28/92	9.813	4.813	11.000	4.000		9.813	4.750	11.250	4.125		1.656	133.330	25.680
4/29/92	9.750	4.813	11.000	3.938		9.813	4.750	11.250	4.063		1.657	133.500	25.650
