CBK	MRK	TKA	VOW
19.83	27.72	13.59	31.02
19.8	27.52	13.59	31.49
19.44	27.54	13.7	31.68
19.64	27.47	13.85	31.81
19.64	27.47	13.85	31.81
19.64	27.47	13.85	31.81
19.64	27.47	13.85	31.81
19.72	27.62	13.91	31.9
19.8	27.82	13.92	32
19.8	27.82	13.92	32
19.8	27.82	13.92	32
19.4	27.72	13.82	31.4
20.28	27.82	14.13	32.11
20.48	27.64	14.35	32.55
20.97	27.67	14.34	32.85
21.56	27.44	14.52	34.05
21.63	27.67	14.79	35.45
21.11	27.82	14.33	35.23
21.24	29.18	14.75	36.1
21.27	29.22	14.7	36.01
21.68	29.18	14.74	35.95
22	29.13	14.53	36.08
22.26	28.92	14.68	36.36
22.78	29.2	14.85	37.18
22.48	30.38	14.93	37.16
22.14	30.84	15.19	38.53
22.1	31.24	15.01	39.19
22.1	31.04	14.67	38.48
22.15	30.86	14.85	38.48
21.73	30.79	15.07	38.63
21.29	30.66	15.56	38.61
21.29	31.54	15.89	38.38
21.23	31.34	16.36	38.34
21.57	31.21	16.5	38.61
21.8	31.14	16.45	38.7
22.05	31.64	16.34	39
21.68	31.57	16.23	38.86
21.81	31.57	16.36	39.21
21.88	31.82	16.62	39.89
21.85	31.89	16.51	39.91
21.9	31.76	16.44	40.65
21.89	31.39	16.9	41.08
21.67	31.31	16.58	41.09
22	31.19	16.51	40.56
21.8	31.19	16.4	39.96
21.69	31.04	16.46	39.81
21.47	31.48	16.46	40.16
21.69	32.14	16.34	40.19
21.75	31.87	17.1	39.86
21.99	32.2	17.84	39.43
21.9	32.04	17.73	39.76
22.23	32.59	18.62	40.69
21.81	32.42	18.24	40.71
21.92	32.38	18.22	40.9
22.16	32.52	18.66	42.9
22.23	32.04	18.47	43.57
22.41	32.09	18.23	43.81
22.56	34.03	18.18	44.57
22.76	33.75	18.35	46.31
23.29	34.16	18.39	47.35
23.39	34.18	18.15	46.87
23.15	33.83	18.18	46.32
23.7	33.68	17.84	45.97
22.89	32.62	17.61	44.84
23.24	32.7	17.61	44.69
23.27	32.45	17.61	45.36
22.71	32.57	19.13	43.67
22.96	32.6	19.97	44.15
23.11	33.2	20.99	44.07
23.44	34.38	19.17	44.69
24.02	34.51	19.15	45.12
24.33	34.08	19.2	46.27
24.33	34.08	19.2	46.27
24.33	34.08	19.2	46.27
23.37	32.92	18.51	44.39
22.67	32.29	17.83	43.46
22.79	32.45	17.97	43.99
22.79	32.6	17.97	44.27
23.51	33.75	18.28	46.42
23.45	33.45	18.24	46.07
23.59	33.68	18.48	47.67
23.36	33.65	18.66	52.38
22.86	33.8	19.15	52.78
23.17	33.8	19.31	52.57
23.32	34.81	19.7	52.91
23.02	35.21	19.86	52.13
23.12	35.36	20.04	53.88
23.36	35.19	19.92	53.71
23.3	35.06	19.48	52.83
23.36	34.71	19.56	53.23
23.29	34.61	19.55	54.13
23.88	34.8	19.6	54.48
23.38	34.71	19.22	53.73
23.37	34.76	19.4	53.48
23.65	34.71	19.35	53.46
23.65	34.31	19.22	54.89
23.65	34.31	19.22	54.89
23.7	34.28	19.43	57.99
24.56	35.21	19.76	60.09
23.93	35.31	19.53	59.79
23.88	34.71	19.17	57.44
23.88	34.71	19.17	57.44
23.83	34.81	19.12	58.06
24.23	34.86	19.31	59.29
24.16	35.69	19.07	57.61
24.35	35.07	19.28	57.99
24.38	35.36	19.6	57.74
24.37	35.99	19.56	57.49
24.37	35.99	19.56	57.49
24.46	35.82	19.86	55.86
25.36	36.11	20.23	56.76
25.33	35.46	19.87	56.94
25.14	35.97	20.09	57.16
25.96	35.94	20.12	57.39
25.91	36.14	20.4	57.27
26.11	35.74	20.05	56.29
26.01	35.74	20.2	56.34
24.36	35.64	20.09	55.33
24.51	35.54	20.09	56.37
25.49	35.56	20.75	58.44
25.42	35.21	20.76	59.4
25.4	35.77	20.94	60.39
25.27	35.77	21.12	60.27
25.07	35.59	20.89	59.5
24.96	35.77	21.05	59.84
25.22	35.66	20.66	59.73
25.6	36.02	20.8	60.2
25.45	37.12	20.96	60.25
25.17	37.58	21.09	59.8
25.12	37.17	20.98	60.19
24.79	37.3	21.17	61.02
24.88	37.73	21.19	62.54
24.66	38.23	21.32	62.6
24.48	38.33	21.47	60.94
24.84	38.08	21.47	62.32
25.42	38	21.82	62.55
25.32	38.36	21.68	65.65
25.14	38.33	21.51	65.9
24.79	38.46	21.22	66.2
24.98	38.18	21.95	67.06
25.47	38.1	21.85	67.97
25.53	38.13	22.24	71.36
25.3	37.73	22.34	70.14
25.5	37.65	22.27	71.18
26.07	38	22.54	73.41
26.36	37.98	21.93	74.51
25.85	37.98	21.62	72.11
26.8	37.73	22.14	72.61
27.02	37.73	22.5	74.46
26.54	37.53	22.49	73.81
27.25	37.73	22.62	73.39
27.43	38.33	22.22	72.11
27.12	38.33	21.5	69.88
28.78	38.05	21.07	70.61
31.88	38.73	21.44	70.01
32.75	38.73	21.47	70.81
31.58	37.98	21.24	69.83
32.48	38.15	21.32	69.16
31.33	37.88	21.75	68.62
30.92	37.58	21.48	67.65
31.46	37.63	21.46	69.33
31.58	37.93	21.3	69.91
31.08	37.3	21.2	70
31.08	36.54	20.94	68.68
31.61	36.82	20.51	67.93
31.67	37.38	21.23	68.3
32.42	37.93	21.33	68.22
33.54	37.22	21.25	67
35.04	38.03	21.74	66.18
34.68	37.68	22.26	67.8
33.21	37.02	21.91	65.55
33.18	36.21	22.55	65.76
32.93	35.97	22.04	62.75
32.45	34.46	21.78	64.25
35.08	35.21	22.85	68.9
36.86	36.34	23.03	69.71
35.18	36.65	22.45	68.11
33.84	35.66	21.86	66.6
33.86	35.66	21.8	66.43
33.05	34.96	21.48	65.88
32.65	34.46	21.58	65.85
31.76	34.21	21.2	64.75
33.81	34.21	21.42	64.91
33.22	34.46	21.96	66.59
33.61	34.81	22.24	67.95
32.77	34.68	22.15	67.08
32.7	34.96	22.47	67.33
32.6	35.04	22.34	60.89
32.85	34.66	22.34	59.59
32.55	35.01	21.98	58.41
31.58	35.21	21.73	58.31
30.17	34.61	20.91	57.54
29.45	33.25	20.87	57.08
29.63	32.95	20.46	57.36
30.75	33.65	20.66	58.44
30.24	33.85	20.46	58.05
30.77	33.8	20.5	58.21
30.67	33.65	20.5	58.41
31.89	34.94	20.94	59.39
31.94	35.11	20.84	60.37
32.45	34.51	20.86	61.42
31.97	34.78	20.67	61.44
32.14	33.96	21.01	60.99
31.81	34.21	20.95	61.09
32.32	34.16	21.01	61.47
32.93	34.71	21.33	62.8
33.67	35.21	21.28	62.69
33.67	35.21	21.28	62.69
34.37	35.06	21.46	64.52
33.66	34.58	21.33	64.3
32.27	34.33	21.65	63.31
32.29	34.21	21.42	60.71
32.24	34.21	21.37	60.64
32.8	34.26	21.42	60.09
33.41	34.46	21.4	59.67
33.13	35.21	21.3	59.44
32.93	34.71	21.05	58.79
32.42	35.31	20.63	57.58
32.66	35.72	21.15	57.09
33.7	36.17	21.98	58.27
32.78	36.46	21.93	58.99
31.7	35.97	21.33	57.84
31.6	34.96	21.18	57.23
31.19	33.95	20.55	54.25
28.63	31.14	19.68	51.08
30.17	32.7	19.74	53.43
30.17	31.84	19.43	52.08
29.86	32.29	20.45	50.9
31.3	32.45	21.01	54.53
30.22	31.84	21.09	52.43
31.65	32.4	21.98	52.73
31.69	32.6	21.91	52.58
30.93	32.19	21.44	49.93
30.58	32.09	21.83	49.43
30.88	32.55	21.81	48.06
30.14	32.95	21.98	45.82
30.14	33.35	21.58	46.22
29.81	33.4	20.81	44.17
31.39	33.56	21.11	46.12
31.8	34.21	20.94	45.32
31.75	34.08	21.09	45.66
32.53	32.8	21.42	46.65
32.36	31.82	21.05	48.62
31.24	31.14	20.58	47.45
30.98	31.9	20.89	47.75
31.19	32.19	21.24	49.67
31.39	32.95	21.71	49.82
31.55	33.1	21.56	50.01
31.96	33.55	21.76	53.58
31.88	33.15	21.36	52.79
31.55	32.7	21.32	51.4
31.83	32.19	21.6	52.23
