CBK	MRK	TKA	VOW
32.14	32.45	21.46	51.98
34.26	32.7	21.36	51.25
34.94	32.5	21.37	50.98
35.25	32.04	20.94	49.27
34.13	31.77	20.46	48.07
35.33	31.14	20.55	48.32
34.92	30.31	19.74	47.67
35.82	31.01	19.74	48.33
36.02	30.94	20.31	48.4
36.97	30.68	20.25	48.77
38.5	29.68	19.43	47.37
37.94	29.02	19.3	47.67
37.84	29.68	19.42	48.77
37.84	29.68	19.42	48.77
37.84	29.68	19.42	48.77
37.84	29.68	19.42	48.77
37.84	30.38	19.63	50.83
36.15	30.58	19.63	50.48
36.15	30.58	19.63	50.48
36.15	30.58	19.63	50.48
37.08	30.58	20.14	52.13
37.09	31.14	20.3	53.93
37.21	30.56	20.09	52.33
36.82	30.18	19.97	52.01
35.74	29.75	19.66	50.53
35.13	29.68	19.08	49.9
33.75	28.32	18.28	49.07
33.69	28.65	18.61	49.2
33.82	29.08	18.25	49.53
33.54	29.18	18.18	49
33.62	29.78	18.26	49.6
34.03	29.58	18.15	50.58
34.3	31.59	17.9	49.83
33.31	31.69	17.82	50.28
32.88	31.48	17.99	49.25
32.77	32.34	17.87	49.4
32.67	31.99	18.28	49.93
33	32.32	18.95	49.63
34.11	32.7	19.37	50.45
34.36	32.04	19.4	51.15
33.64	32.32	19.68	53.18
33.7	33.69	19.66	53.85
34.44	33.69	19.76	53.36
34.87	33.7	19.35	54.13
34.26	33.58	19.56	54.43
35.38	33.38	19.67	53.83
34.97	33.05	19.91	53.93
34.92	32.85	19.82	53.91
34.69	31.19	19.43	53.83
34.1	32.07	19.55	53.18
33.74	31.72	19.38	53.36
33.75	31.92	19.45	54.29
34.01	32.19	19.63	56.64
33.67	31.69	19.43	56.66
33.36	31.77	19.36	55.83
33.39	31.89	19.41	55.83
33.44	32.79	19.45	56.94
33.74	33	19.49	56.86
33.81	33	19.89	58.34
33.82	33.43	19.82	58.59
33.44	33.95	20.22	59.99
34.1	34.46	20.78	60.64
34.13	34.41	21.09	61.32
33.38	34.43	20.86	60.02
33.33	34.68	20.96	59.99
33.9	35.72	20.92	62.44
33.34	36.27	21.25	67.35
33.34	36.27	21.25	67.35
34.15	36.07	21.01	66.14
34.43	36.22	21.19	65.82
34.64	36.72	21.07	64.5
34	36.22	21.19	64.8
34.31	35.72	21.7	66.1
33.85	36.85	22.04	65.2
33.75	37.22	21.81	67.1
34.49	37.3	22.04	72.61
34.43	37.22	21.38	72.51
34.58	38.17	21.41	71.71
35.15	38.48	21.16	71.38
34.84	37.98	20.96	68.82
34.8	39.24	20.94	71.81
33.82	39.24	20.55	74.6
34.51	39.49	20.5	72.86
34.46	39.54	20.61	74.19
35.07	39.39	21.22	76.03
34.82	39.49	21.99	80.27
36.2	39.24	22.34	81.76
35.48	39.09	21.81	79.1
35.36	36.97	21.78	76.64
35.94	36.72	21.94	77.1
35.94	36.72	21.94	77.1
35.94	36.72	21.94	77.1
36.61	36.72	22.14	74.75
37.38	36.54	21.83	75.77
36.91	35.74	21.87	74.67
37.15	35.46	21.77	74.75
37.81	35.51	22.03	76.31
38.19	36.62	22.23	73.04
37.89	35.82	21.95	72.12
37.5	35.82	21.86	70.45
36.21	35.56	21.42	69.9
35.28	34.71	21.04	68.77
35.79	34.71	21.29	72.76
35.52	35.36	21.07	73.63
35.79	35.72	21.32	76.03
35.79	35.72	21.32	76.03
36.23	35.53	21.54	75.77
35.4	34.25	21.37	73.37
35.38	34.61	21.47	73.68
34.64	33.95	21.45	74.04
35.79	34.21	21.62	75.44
36.25	34.21	21.99	75.27
35.89	34.06	21.68	73.98
36.72	35.01	21.93	72.6
35.92	35.46	21.88	74.21
35.84	35.21	22.04	74.14
35.2	35.24	22.18	73.42
35.53	36.22	23.11	74.01
35.74	37.12	23.62	75.42
35.74	37.12	23.62	75.42
36.18	37.38	23.47	74.59
36.79	37.78	23.83	75.65
37.2	37.28	23.95	77.46
36.05	35.56	23.26	74.44
36.25	35.87	23.44	74.01
36.76	35.36	23.49	73.63
36.76	35.36	23.49	73.63
35.98	35.01	23.39	74.39
36.46	35.46	23.37	77.61
36.3	35.77	23.01	77.1
36.33	36.97	23.28	79.22
35.88	37.43	23.62	77.51
35.53	37.98	23.71	77.97
35.99	37.73	23.75	83.49
35.99	37.73	23.75	83.49
35.48	37.88	23.52	81.55
34.67	37.98	23.01	82.65
34.82	37.88	22.85	85.75
35.18	37.88	23.12	89.83
34.66	36.57	23.01	87.79
34.51	36.32	22.75	84.82
34.51	36.97	22.95	86
34.69	38.83	23.01	86.41
35.44	39.92	23.11	87.69
36.12	38.73	22.96	89.32
35.36	38.83	22.92	89.58
35.42	40.95	23.26	90.29
34.73	41.5	23.34	89.01
35.02	41.58	23.72	92.77
34.79	42.03	24.02	92.88
35.23	41.75	23.9	95.66
34.54	41.24	24.13	97.3
34.42	41.25	24.46	98.68
34.72	41.12	25.04	100.72
34.58	41.47	24.98	99.96
34.41	41.35	24.72	97.61
34.36	40.75	24.49	95.92
35.46	41.17	24.8	96.12
35.91	40.69	24.64	96.12
35.05	41.1	24.34	93.31
35.78	41.75	24.18	92.88
36.69	42	24.02	93.54
37.38	42.03	23.52	92.54
36.52	42.25	22.75	92.03
36.03	41.2	22.55	90.88
35.74	39.99	22.34	89.68
34.77	39.24	21.73	86.77
34.98	41.2	21.73	84.77
34.67	41.15	21.86	87.43
34.46	42.25	22.01	88.45
34.56	41.4	21.78	83.29
34.03	39.99	21.46	80.78
33.62	41.5	21.24	80.38
32.72	39.74	20.91	82.22
32.11	38.38	20.61	82.19
32.21	38.73	20.25	83.03
30.86	38.48	19.58	78.2
29.63	36.72	18.94	72.02
30.52	36.22	18.76	71.86
30.06	35.46	18.41	70.71
30.75	36.47	18.72	73.98
29.76	36.85	18.99	73.06
30.51	36.72	19.57	75.16
29.71	36.02	19.81	76.18
29.04	36.72	19.33	74.44
27.61	35.97	18.76	72.09
28.03	35.61	18.71	71.89
29.15	36.42	19.15	74.8
27.66	36.44	18.42	71.73
26.84	35.46	17.87	66.98
26.89	32.7	17.28	65.55
25.67	33.95	17.05	63.76
26.69	34.46	17.51	69.02
27.02	35.72	17.9	67.75
25.85	35.21	17.33	62.91
25.95	35.72	17.44	62.94
26.56	35.97	17.67	64.35
27.1	37.22	18.46	69.02
26.54	37.22	17.65	67.21
25.68	35.47	17.32	63.73
26.59	35.21	16.69	62.35
26.92	35.77	16.97	64.42
26.02	35.46	16.49	63.35
26.59	35.46	16.46	63.53
25.19	33.7	16.11	59.21
25.49	33.95	16.18	59.82
25.22	33.9	16.16	54.94
25.62	34.21	15.57	56.52
26.23	34.46	15.82	59.54
25.35	34.71	15.34	59.82
25.23	34.71	15.24	58.8
25.18	35.09	15.59	63.91
24.03	34.96	14.88	64.58
23.08	33.95	14.42	61.87
20.68	33.2	14.03	53.63
21.55	30.94	14	53.66
21.99	33.65	13.8	53.33
23.26	33.45	14.11	56.24
21.89	31.49	13.19	52.05
21.01	31.14	12.47	48.47
21.68	32.57	12.58	52.77
23.01	31.34	13.57	58.7
22.91	31.7	14.15	58.8
23.79	33.7	14.37	59.72
23.95	34.12	13.75	62.61
24.2	32.47	14.06	60.56
24.19	32.7	13.78	62.3
25.62	33.1	14.85	65.39
25.05	34.21	14.47	63.27
24.88	33.2	13.93	59.49
24.85	33.2	14.27	57.75
25.51	33.7	14.52	63.14
25.56	33.95	15.36	64.01
25.31	32.95	15.19	61.51
25.1	32.5	15.14	61.51
25.62	33.8	15.29	63.66
25.46	34.46	15.72	65.29
25.06	34.03	15.34	66.21
26.02	33.6	15.8	69.28
25.67	34.21	15.19	66.47
26.89	33.75	15.24	66.72
27.81	34.46	15.39	67.23
26.9	33.7	14.93	65.96
27.35	34.21	14.9	65.32
27.7	33.55	14.6	66.72
26.58	33.5	15.11	64.22
27.21	33.65	15.23	67.16
27.54	33.2	15.11	65.85
26.71	33.2	14.9	66.47
27.35	34.76	14.7	68
28.04	36.97	15.2	70.56
28.69	37.21	15.67	71.48
28.36	36.57	15.5	69.69
27.94	35.61	15.54	69.59
28.45	35.06	15.6	71.84
28.73	34.71	15.6	72.32
28.38	34.96	15.7	70.87
26.69	33.84	15.24	65.7
25.7	33.7	14.96	66.21
26.2	32.7	14.75	66.72
26.1	32.7	15.13	67.49
25.74	33.7	15.25	65.39
25.31	34.46	15	65.32
25.19	34.96	14.73	63.66
24.95	35.61	14.28	63.35
23.9	35.21	13.86	60.97
24.08	35.21	13.54	64.12
23.54	35.31	13.28	61.36
24.54	36.12	14.11	64.42
24.54	37.45	14.67	66.44
24.13	36.97	14.62	64.17
25.31	37.78	15.18	66.77
25.05	36.97	15.19	66.98
25.49	37.63	15.36	69.02
25.49	37.63	15.36	69.02
25.49	37.63	15.36	69.02
26.64	37.63	15.79	70.2
26.28	37.22	15.75	69.54
26.85	38.23	16	68
26.85	38.23	16	68
26.85	38.23	16	68
28.2	38.47	16.6	75.2
27	38.37	16.4	76
28.54	36.89	16.15	78.76
27.85	37.39	16	77
28.5	37.09	16.81	78.11
27.4	35.91	16.48	76.4
27.17	34.68	16.48	73.6
25.9	32.47	15.55	70
25.12	33.45	14.7	68.2
25.55	33.25	14.65	67.56
27.68	35.91	14.35	69
27.63	34.63	15.1	68.65
27.32	33.46	15.5	70.85
26.76	32.25	15.4	71.9
25.9	31.35	15	66.83
26.2	31.43	15.35	66.81
25.65	31.43	15.2	68.35
25.75	31.48	14.8	68.01
26.02	30.5	14.8	67.5
26.3	31.97	14.96	69.7
26.8	31.19	15.4	68.4
25.75	31.88	15.6	66.75
25.93	31.38	15.88	66.1
25.66	30.99	16.48	67.5
25.9	31.58	16.6	67
26.1	31.48	18.14	66.25
25.5	31.48	17.7	64.06
25.65	31.48	17.48	63.1
25.62	32.47	17	64.16
25.4	32.22	17.21	65.5
25.23	32.47	17.15	66.48
25.32	31.97	17.07	65.45
25.09	31.97	17	64.11
24.94	32.22	16.81	63.52
24.55	31.38	17.3	62.1
25.25	30.7	17.42	63.55
25.5	30.5	17.65	67.05
25.85	29.52	18.18	62.85
25.62	29.71	17.86	59.5
25.48	32.66	18.41	58.5
24.95	31.87	16.63	55.36
24.62	30.79	16.25	56
24.3	30.5	16.22	55.3
24.4	29.71	16.6	58.3
25.2	29.61	16.7	57.81
25.45	30.5	16.32	56.9
25.6	30.89	16.4	56.45
25.83	29.32	15.87	54.4
26.78	29.56	16.01	54.65
27.54	29.52	16.82	56.7
28.25	30.1	17.95	57.05
28.25	30.5	18.35	57.3
27.91	30.4	18.7	56.85
27.86	30.7	18.4	56.5
28.1	30.6	18.12	58.05
28.2	31.24	18.3	58.2
27.5	31.48	17.7	56.86
26.93	31.48	17.6	55.79
27.74	31.19	18.15	59.5
27.85	31.53	17.69	60
27.86	31.48	18	60.13
27.56	31.24	17.94	61.45
27.61	31.48	18.43	61.2
28.14	31.48	18.21	60.47
28.14	31.48	18.21	60.47
28.14	31.48	18.21	60.47
28.85	31.43	19.4	60.09
29.5	31.24	19.39	61.25
29.88	32.47	19.5	61.54
29.8	32.92	19	62.53
29.7	32.96	18.8	62.1
29.63	34.34	20.08	63.64
29.92	31.58	19.86	63.92
29.99	31.6	21.38	67
29.61	31.97	21.01	68.4
30.08	31.29	21.46	70.68
29.43	31.26	21	68.99
29.69	32.17	20.6	69.75
30.25	32.07	20.9	71.2
30.39	32.22	20.25	70.05
30.35	32.22	21.09	69.45
31	32.06	20.8	71.7
30.8	31.88	20.28	67.3
30.45	31.89	19.91	65.8
30.65	31.58	20.84	66.42
30.25	31.97	20.2	65.55
29.95	33.01	20.4	65.9
30.25	33.45	20.1	65.12
29.7	33.94	19.45	65.02
30.3	33.75	19.55	64.95
30.5	33.75	19.2	64.32
30.15	33.5	20	65.11
29.75	33.45	19.6	65.5
29.75	33.45	19.6	65.5
29.58	32.47	19.16	64
29.27	32.37	18.4	62.2
29.65	32.71	18.3	62.64
29.93	32.71	18.95	63.15
30.2	33.94	19.05	62.13
29.69	32.66	19.63	61.84
29.69	32.66	19.63	61.84
28.32	32.43	19.16	61.28
28.22	32.64	19.7	61.99
27.41	32.42	18.99	60.1
26.85	32.55	18.82	59.57
26.62	31.88	18.44	60.19
26.12	32.66	17.8	60.4
26.4	33.6	18.25	60.8
26.4	33.6	18.25	60.8
26.58	33.25	18.1	61.39
27.53	33.43	18.68	62.19
27.8	32.96	18.71	61.99
29.3	33.01	19.3	62.9
29	32.96	19.43	61.95
28.95	32.9	19.98	62.6
29	32.76	19.8	62.7
29.05	32.66	20	65.63
29	32.47	21.05	66.38
28.8	32.17	20.28	67.02
28.36	31.78	20	65
28.98	31.83	20.33	66.87
29.15	31.78	20.66	65.6
28.87	32.66	20.35	63.12
28	32.17	20.58	62.42
28.5	31.34	20.94	62.5
29.3	31.09	20.91	63.2
29.25	30.99	21.05	62.6
29.49	31.02	21.5	62.5
30	30.99	21.7	63.4
30.95	31.09	22.28	61.5
31.67	31.58	22.14	61.66
31.7	31.29	22	63.35
32	31.34	21.4	62.79
33.26	30.99	22.44	62.05
34.42	30.79	23.5	62.2
33.8	30.5	23.4	62.79
33.35	31	22.68	62.35
35.1	30.99	23.05	61.97
34.8	31.29	23.49	61.89
34.42	31.48	23.73	61.79
34.28	32.07	23.01	60.55
33.37	31.9	23.31	59.15
32.64	31.4	22.7	58.3
32.1	30.3	22.3	56.7
32.2	30.7	22.53	56.75
31.9	30.45	22.31	56.11
32.49	30.5	22.5	57
32.48	30.5	22.2	57.11
31.5	30.2	22.25	55.5
30.98	32.37	21.8	56.14
31	30.84	22.45	56.25
30.55	30.35	22.2	55.5
30.78	30.01	22.31	55.41
29.6	30.79	23.24	53.35
29.8	31.19	24.1	53.75
29.52	30.94	24.55	53.7
29.42	30.6	23.75	53.2
29.9	30.79	23.31	53.46
30.61	31.33	24.5	53.46
33.11	32.41	24.15	54.57
32.86	32.07	24.25	54.8
33.15	31.53	23.51	55.05
33.25	32.27	22.8	55.25
32.81	31.83	22.6	54.8
33.45	31.81	23.14	55.05
33.75	32.17	23.33	55.49
33.29	32.48	22.8	55
33.82	32.47	22.74	55.59
33.07	32.47	22.38	57.24
34.03	32.52	22.14	58.49
34.4	32.27	21.9	58.35
33.76	31.48	21.6	56.5
35.07	32.76	22.3	56.8
34.17	32.22	21.78	55.5
35.9	31.88	21.75	56.68
36.14	32.02	21.75	57.59
35.87	33.06	21.8	58.15
35.8	33.45	21.6	58.2
35.68	35.6	22.5	58.3
35.5	35.07	22.45	58.4
35.52	35.07	22.2	58.01
34.8	34.83	22.02	56.7
34.9	35.21	22.11	55.77
34.2	33.94	20.85	54.91
34.55	34.43	21.4	54.2
33.94	34.43	21.58	55.29
34.12	34.43	21.52	54.32
34.72	34.39	20.88	53.5
35.38	34.43	20.62	53.2
35.14	34.24	19.55	52.9
35.62	34.43	19.89	54.09
35.51	33.45	18.57	52.5
35.65	34.43	18.6	52.67
36.05	33.65	18.7	52.8
35.6	33.65	19.25	52.8
35.94	32.96	20.16	52.95
35.65	32.71	20.9	53.3
35.94	32.97	21	52.51
35.8	34.78	20.65	52.6
35.6	32.96	20.32	52.17
35.37	33.06	20.5	52.3
35.3	32.84	20.88	51.3
34.8	32.57	20.65	51.18
34.2	33.45	19.97	50.35
34.01	33.45	20	51.65
33.96	34.25	19.7	51.5
34.58	34.24	19.91	53.25
34.63	33.99	20.4	52.2
34.58	32.96	20.9	51.9
34.71	33.06	21.5	52.9
34.8	32.07	21.02	52.73
34.75	33.2	21.4	53.4
35.27	33.25	21.2	52.8
35.75	32.57	21.7	54.45
36.34	32.57	22.5	56.01
36.25	32.47	22.29	56.24
36	32.47	22.18	53.51
35.66	32.47	22.3	52.55
36	32.22	22.51	51.5
36.03	32.47	22.25	51.66
35.8	32.47	21.41	51.9
35.92	32.25	21.4	51.65
35.3	31.48	21.78	51.1
35	31.56	21.69	50.4
34.7	30.99	20.7	50.2
34.2	31.38	21.1	50.31
34.2	32.22	23.7	51.59
34.25	31.68	23.4	51.51
34.63	30.89	25	51.69
34.6	30.79	24.65	50.55
33.88	30.94	25.51	49.7
33.21	29.52	25.51	49
32.95	29.32	24.5	48.8
33.15	30.11	25	48.49
32.85	30.65	24.61	48.6
32.15	30.89	25.3	46.55
32.45	29.71	25.82	46.6
32.15	29.69	27.11	46.8
32.4	29.07	27.8	47.6
33.4	29.71	28.15	48.56
33.49	29.12	27.99	49.35
33.33	28.73	28.05	48.71
33.45	28.68	28	49.35
34.15	28.88	28	48.01
34.88	29.17	28.4	48.35
35.15	28.53	28.1	48.6
34.92	29.07	29	48.1
34.7	30.99	30.88	50.66
35.79	31.19	32	55.15
34.9	31.48	32.2	54.32
34.6	29.02	31.37	53.62
34.58	29.96	30.16	54.48
35.04	29.52	30.1	55.16
36.4	29.52	30.14	55.3
36.4	29.52	30.14	55.3
36.26	29.52	30.47	56.25
36.03	29.71	31.6	55.97
36.25	29.61	30.81	55.4
36.7	30.5	30.15	55.77
36.7	30.5	30.15	55.77
35.9	30.15	31.35	54.25
34.9	29.81	31.9	52.23
35	29.52	33.6	51.75
35.4	29.02	33.5	52
36.55	29.27	33.55	53.5
36.47	29.81	32	53.65
36.25	29.98	31	54.49
36.55	30.2	30.4	53.57
36.1	29.91	30.4	52.23
36.4	29.61	30.8	52.51
36.6	30.3	30.49	53.2
36.37	29.96	30.57	52.2
36.85	30.01	30	51
36	30.89	28.49	49.75
36.01	30.5	29	49.66
35.4	30.7	29.16	49.16
33.85	29.81	28.6	48.01
33.56	30.31	28.85	48
33.5	30.88	27.67	49.52
32.85	30.89	27.43	49.69
32.25	30.5	25.99	48.25
32.75	31.04	26.09	47.16
32.9	30.99	27.7	47.66
33	30.5	28.12	47.31
33.08	30.89	28	46.99
32.3	29.81	27.39	46.55
31.5	29.81	27.15	46.5
32.2	29.71	26.75	46.29
35.35	30.01	28	46.5
36.8	30.5	26.75	46.5
37.4	29.52	26.86	46.35
36.42	28.97	25.2	45.51
36.9	28.91	26.1	46
39.75	27.25	27.7	45.71
39.55	26.76	26.7	45.55
38.72	26.66	26.29	45.49
38	25.87	27.1	45
39.05	26.42	26.48	42.3
38.7	26.07	25.34	39.61
38.86	26.57	25	41.64
38.1	26.56	24.5	42.2
37.53	26.37	25.36	41.45
36.96	26.76	25.15	40.75
37.75	29.42	25.28	41.45
37.8	29.22	24.24	42.25
37.07	31.29	23.7	41.67
40.49	30.5	23.4	40.28
42	32.61	23.4	41.4
44.01	33.07	23.71	41.25
43.95	33.45	23.38	41.01
41.55	33.65	23.13	41.6
42.77	30.79	23.22	42.36
42.9	29.53	24	42.91
43	29.52	26.9	44.58
42.94	29.91	26.01	43.99
43.2	29.76	26	43.86
43.87	29.76	26.4	43.95
44.3	30.99	25.96	44
43	31.68	25.5	44.2
43	31.88	25.88	44.5
43.15	31.51	25.58	45.1
43.18	31.68	26.5	45.05
42.33	31.48	26.86	45.95
40.05	32.76	26.45	45
39.5	32.86	25.75	45.85
39.6	30.99	25.45	44.35
39.82	32.47	26.35	44.05
39.2	32.47	24.9	43.2
39.28	32.96	24.1	43.29
40.5	33.06	24	42.99
40.25	31.48	24.5	42.92
39.99	31.38	24.25	42.15
40.49	31.48	23.99	41.9
41.5	31.79	23.7	42.5
42	31.53	22.06	41.25
40.45	31.38	22.89	41
41.6	30.01	23.3	41.37
43.6	29.96	23.2	41
42.1	30.2	22.9	41.5
42.1	30.2	22.9	41.5
42.1	30.2	22.9	41.5
42.7	30.3	23.3	42.25
42.3	31.97	23.3	42.35
41	30.3	22.75	41.7
41.62	31.09	23.1	41.5
41.62	31.09	23.1	41.5
41.38	32.47	23.5	42.02
41.25	32.17	23.51	43.5
41.51	32.47	23.59	45.9
42.84	33.45	24	46.8
42.4	32.76	24.55	47.05
42.1	32.57	24.78	49
