Date,DAX 30,ADIDAS,ALLIANZ,BASF,BAYER,BEIERSDORF,BMW,CONTINENTAL,DAIMLER,DEUTSCHE BANK,DEUTSCHE POST,DEUTSCHE TELEKOM,E ON,FRESENIUS,HENKEL,LINDE,MUENCHENER RUECK.,RWE,SAP,SIEMENS,VOLKSWAGEN,FTSE 100,ASTRAZENECA,BARCLAYS,BG GROUP,BHP BILLITON,BP,BRITISH AMERICAN TOBACCO,BT GROUP,DIAGEO,GLAXO SMITH KLINE,HSBC HDG.,LLOYDS BANKING GROUP,NATIONAL GRID,PRUDENTIAL,RECKITT BENCKISER GROUP,RIO TINTO,ROYAL DUTCH SHELL B,SAB MILLER,STANDARD CHARTERED,UNILEVER,VODAFONE GROUP
2004-05-07,3895.64,177.33,111.22,525.21,239.24,364.08,581.13,436.93,67.07,268.9,91.52,105.86,452.94,94.72,307.77,152.52,118.8,263.34,375.96,336.31,134.52,2315.37,574,37866.61,1227.27,273.7,36094.04,141599.6,492.56,18260.07,149071.4,1234.06,190.6,289.11,19383.22,21725.73,28948.08,34339.65,161.44,33394.34,27013.02,1582.08
2004-05-10,3784.61,173.4,106.29,515.56,230.9,355.64,565.15,419.23,65.36,260.36,88.69,102.77,442.75,93.86,300.89,147.44,115.11,251.52,373.11,327.24,132.26,2262.25,565.18,37185,1180.78,261.31,35138.5,140071.6,484.86,18056.25,146950.8,1206.7,188.77,287.58,18634.32,21088.92,28048.5,33656.27,155.9,32746.1,26654.89,1533.88
2004-05-11,3849.84,176.22,108.05,522.93,231.12,368.94,569.6,420.32,66.51,268.38,89.68,105.01,453.02,94.53,306.55,148.48,116.23,260.92,379.7,331.63,134.58,2292.91,570.56,37904.46,1209.6,264.64,35372.88,139986.7,489.06,18176.15,147449.7,1235.58,192.33,287.92,19162.96,21237.02,28717.42,34147.45,158.4,33983.66,26910.7,1548.05
2004-05-12,3776.24,175.58,104.84,517.34,231.45,366.26,567.95,419.95,65.97,261.38,87.9,103.46,442.75,94.39,301.5,146.61,112.88,255.93,366.5,322.22,133.2,2274.65,566.25,37563.66,1215.18,267.05,35286.85,140665.8,483.46,18212.11,146825.9,1217.34,190.95,286.56,18722.43,21548.02,28671.29,33997.96,158.54,33806.86,26347.93,1525.37
2004-05-13,3824.93,175.08,106.35,526.99,237.15,367.08,573.55,429.53,66.55,263.64,89.58,102.46,453.52,91.79,306.5,148.55,114.63,259.38,378.47,325.02,136.78,2295.72,575.29,37847.67,1251.44,268.56,35922.81,139307.6,484.86,18188.13,146951.8,1231.78,192.9,287.07,18942.69,21488.78,28994.21,34254.23,158.8,34022.94,26399.09,1533.88
2004-05-14,3803.1,172.89,104.73,525.59,238.58,361.28,576.19,435.72,66.12,262.47,89.06,101.68,455.34,92.48,301.89,148.62,113.95,261.87,376.64,319.54,134.19,2289.53,574,37696.2,1253.3,264.03,36031.83,139562.3,481.36,18080.23,148209.9,1227.22,194.62,287.24,18876.61,21370.3,27956.24,34489.14,155.76,33787.22,26552.57,1522.54
2004-05-17,3754.37,171.71,103.22,520.01,233.97,360.73,567.81,422.26,65.32,259.88,88.85,101.61,452.69,92.34,295.15,146.1,111.36,257.76,368.47,313.33,132.37,2269.54,564.96,37336.46,1230.99,265.24,35868.3,139222.7,473.66,18080.23,147077.6,1202.9,192.21,288.77,18722.43,21207.4,28117.7,34062.03,155.76,33001.47,26526.99,1516.87
2004-05-18,3789.24,173.65,104.02,525.85,241.98,369.06,575.35,430.75,65.38,262.1,88.01,102.22,452.94,93.94,292.67,145.61,112.73,258.06,373.56,318.75,132.92,2275.41,571.42,37431.13,1211.46,263.73,35123.31,137270.1,477.86,17672.59,149090.6,1206.7,192.9,290.3,18612.3,21222.21,28279.16,33634.92,158.14,33571.13,26782.8,1531.04
2004-05-19,3872.26,174.19,107.09,532.58,251.74,365.07,589.59,436.42,65.99,268.66,90.84,104.62,455.59,92.48,292.41,150.65,115.19,264,382.24,327.98,134.02,2307.52,567.54,38112.73,1233.78,279.14,35286.85,140071.6,485.56,17408.82,150097.2,1225.39,195.77,294.89,19383.22,21103.73,29570.87,33933.9,163.95,34730.11,26804.29,1567.9
2004-05-20,3839.32,172.44,106.77,528.64,247.25,362.39,578.03,431,64.8,268.09,89.95,104.23,451.44,94.53,291.53,149.56,113.74,261.8,381.34,325.3,132.65,2285.28,558.29,37715.13,1228.2,273.4,35141.48,138883.1,500.25,17564.68,147706.7,1213.12,194.51,288.43,18920.66,21533.21,28832.75,33634.92,174.38,34160.45,26621.05,1539.55
